clocks, time
7961092, 0.003626
7451396, 0.003395
6608736, 0.003011
6945746, 0.003164
6500642, 0.002962
6220831, 0.002834
6066926, 0.002764
9444912, 0.004303
8582904, 0.003910
8046242, 0.003666
7621740, 0.003472
6831173, 0.003112
6211336, 0.002830
6716920, 0.003060
6062272, 0.002762
8944570, 0.004075
8194437, 0.003733
7076994, 0.003224
6065100, 0.002763
6069310, 0.002765
6525446, 0.002973
6060284, 0.002761
8717768, 0.003972
8409245, 0.003832
7939687, 0.003617
6815180, 0.003105
6069174, 0.002765
6273720, 0.002859
6250600, 0.002848
6061146, 0.002762
6155222, 0.002805
6612922, 0.003012
6060104, 0.002761
6058352, 0.002760
6058288, 0.002760
6938950, 0.003162
6058704, 0.002760
6157296, 0.002805
6061632, 0.002762
8781502, 0.004000
8683123, 0.003956
7487900, 0.003412
6314526, 0.002877
6059148, 0.002760
6242984, 0.002844
6066810, 0.002764
6278596, 0.002861
6320278, 0.002879
6164782, 0.002809
6207908, 0.002828
6059726, 0.002761
6260300, 0.002852
6060484, 0.002761
6160616, 0.002806
6063618, 0.002763
8069048, 0.003676
7349158, 0.003348
6340640, 0.002889
6062326, 0.002762
6159646, 0.002806
6058364, 0.002760
6217138, 0.002833
7155752, 0.003260
6833978, 0.003113
7934082, 0.003615
6453496, 0.002940
6597556, 0.003006
7091496, 0.003231
8015412, 0.003652
6359724, 0.002897
7420839, 0.003380
7780598, 0.003545
6695054, 0.003050
6268634, 0.002856
6179394, 0.002816
6162228, 0.002807
6059906, 0.002761
6769872, 0.003084
6126538, 0.002791
6060122, 0.002761
6059808, 0.002761
9767286, 0.004449
9691749, 0.004416
8045554, 0.003666
7215774, 0.003287
6158970, 0.002806
6058968, 0.002761
6062690, 0.002763
6058562, 0.002760
6152936, 0.002803
6057878, 0.002760
6159118, 0.002806
6415420, 0.002922
6102800, 0.002781
6155256, 0.002804
6173992, 0.002813
6057834, 0.002759
9363792, 0.004266
9935152, 0.004526
8163107, 0.003719
7059614, 0.003216
6255630, 0.002850
6164490, 0.002809
6058372, 0.002760
6287412, 0.002864
6151868, 0.002803
6061528, 0.002761
6443378, 0.002936
6059868, 0.002761
6103860, 0.002781
6061966, 0.002762
6058232, 0.002760
6358466, 0.002897
6240290, 0.002843
6622652, 0.003017
9234831, 0.004208
7829404, 0.003567
6677000, 0.003042
6359730, 0.002897
6064458, 0.002763
6064192, 0.002763
6063694, 0.002762
6163494, 0.002808
6464956, 0.002945
6162794, 0.002808
6066420, 0.002764
6064540, 0.002762
6219330, 0.002834
6064670, 0.002763
