clocks, time, loop_order
1640340, 0.000745, 1
1420, 0.000001, 2
1336, 0.000001, 3
1416, 0.000001, 4
1344, 0.000001, 5
1348, 0.000001, 6
1336, 0.000001, 1
1304, 0.000000, 2
1316, 0.000000, 3
1320, 0.000001, 4
1300, 0.000001, 5
1324, 0.000000, 6
1320, 0.000001, 1
1300, 0.000001, 2
1308, 0.000001, 3
1316, 0.000000, 4
1288, 0.000001, 5
1304, 0.000001, 6
1328, 0.000001, 1
1300, 0.000000, 2
1292, 0.000001, 3
1324, 0.000001, 4
1312, 0.000001, 5
1300, 0.000000, 6
1324, 0.000000, 1
1300, 0.000001, 2
1304, 0.000000, 3
1320, 0.000001, 4
1300, 0.000001, 5
1304, 0.000001, 6
1288, 0.000000, 1
1300, 0.000001, 2
1304, 0.000001, 3
1312, 0.000000, 4
1296, 0.000001, 5
1300, 0.000001, 6
1312, 0.000000, 1
1308, 0.000001, 2
1300, 0.000001, 3
1332, 0.000001, 4
1312, 0.000000, 5
1292, 0.000001, 6
1296, 0.000001, 1
1296, 0.000001, 2
1280, 0.000000, 3
1316, 0.000001, 4
1308, 0.000001, 5
1300, 0.000001, 6
1300, 0.000000, 1
1296, 0.000001, 2
1288, 0.000001, 3
1304, 0.000000, 4
1276, 0.000001, 5
1304, 0.000001, 6
1300, 0.000000, 1
1296, 0.000001, 2
1272, 0.000001, 3
1292, 0.000001, 4
1284, 0.000000, 5
1292, 0.000001, 6
1296, 0.000001, 1
1296, 0.000001, 2
1280, 0.000000, 3
1280, 0.000001, 4
1284, 0.000001, 5
1304, 0.000001, 6
1304, 0.000000, 1
1308, 0.000001, 2
1284, 0.000001, 3
1280, 0.000000, 4
1276, 0.000001, 5
1304, 0.000001, 6
1304, 0.000000, 1
1296, 0.000001, 2
1280, 0.000001, 3
1272, 0.000000, 4
1284, 0.000001, 5
1284, 0.000001, 6
1300, 0.000001, 1
1308, 0.000000, 2
1280, 0.000001, 3
1280, 0.000001, 4
1280, 0.000001, 5
1304, 0.000000, 6
1304, 0.000001, 1
1296, 0.000001, 2
1284, 0.000000, 3
1280, 0.000001, 4
1284, 0.000001, 5
1304, 0.000001, 6
1296, 0.000000, 1
1300, 0.000001, 2
1280, 0.000001, 3
1280, 0.000000, 4
1284, 0.000001, 5
1288, 0.000001, 6
1292, 0.000000, 1
1296, 0.000001, 2
1276, 0.000001, 3
1288, 0.000001, 4
1280, 0.000000, 5
1304, 0.000001, 6
1304, 0.000001, 1
1296, 0.000001, 2
1288, 0.000000, 3
1280, 0.000001, 4
1280, 0.000001, 5
1280, 0.000001, 6
1300, 0.000000, 1
1296, 0.000001, 2
1288, 0.000001, 3
1288, 0.000000, 4
1280, 0.000001, 5
1300, 0.000001, 6
1292, 0.000000, 1
1296, 0.000001, 2
1280, 0.000001, 3
1272, 0.000000, 4
1280, 0.000001, 5
1312, 0.000001, 6
1300, 0.000001, 1
1284, 0.000000, 2
1280, 0.000001, 3
1272, 0.000001, 4
1280, 0.000001, 5
1296, 0.000000, 6
1304, 0.000001, 1
1304, 0.000001, 2
1284, 0.000000, 3
1276, 0.000001, 4
1276, 0.000001, 5
1304, 0.000001, 6
1300, 0.000000, 1
1300, 0.000001, 2
1276, 0.000001, 3
1276, 0.000000, 4
1268, 0.000001, 5
1312, 0.000001, 6
1304, 0.000000, 1
1304, 0.000001, 2
1280, 0.000001, 3
1296, 0.000001, 4
1288, 0.000000, 5
1308, 0.000001, 6
1300, 0.000001, 1
1304, 0.000001, 2
1280, 0.000000, 3
1284, 0.000001, 4
1284, 0.000001, 5
1292, 0.000001, 6
1300, 0.000000, 1
1300, 0.000001, 2
1288, 0.000001, 3
1280, 0.000000, 4
1276, 0.000001, 5
1296, 0.000001, 6
1300, 0.000000, 1
1300, 0.000001, 2
1276, 0.000001, 3
1276, 0.000000, 4
1280, 0.000001, 5
1300, 0.000001, 6
1304, 0.000001, 1
1304, 0.000000, 2
1268, 0.000001, 3
1280, 0.000001, 4
1280, 0.000001, 5
1300, 0.000000, 6
1304, 0.000001, 1
1300, 0.000001, 2
1280, 0.000001, 3
1276, 0.000000, 4
1276, 0.000001, 5
1308, 0.000001, 6
1292, 0.000000, 1
1300, 0.000001, 2
1280, 0.000001, 3
1284, 0.000000, 4
1284, 0.000001, 5
1308, 0.000001, 6
1304, 0.000001, 1
1304, 0.000000, 2
1284, 0.000001, 3
1292, 0.000001, 4
1284, 0.000001, 5
1304, 0.000000, 6
1292, 0.000001, 1
1308, 0.000001, 2
1280, 0.000001, 3
1276, 0.000000, 4
1276, 0.000001, 5
1304, 0.000001, 6
1296, 0.000000, 1
1288, 0.000001, 2
1276, 0.000001, 3
1276, 0.000000, 4
1276, 0.000001, 5
1308, 0.000001, 6
1304, 0.000000, 1
1276, 0.000001, 2
1280, 0.000001, 3
1284, 0.000000, 4
1280, 0.000001, 5
1312, 0.000001, 6
1300, 0.000001, 1
1300, 0.000000, 2
1284, 0.000001, 3
1284, 0.000001, 4
1284, 0.000001, 5
1300, 0.000000, 6
1308, 0.000001, 1
1300, 0.000001, 2
1276, 0.000001, 3
1276, 0.000000, 4
1276, 0.000001, 5
1312, 0.000001, 6
1296, 0.000000, 1
1308, 0.000001, 2
1280, 0.000001, 3
1276, 0.000000, 4
1272, 0.000001, 5
1300, 0.000001, 6
1308, 0.000001, 1
1296, 0.000000, 2
1276, 0.000001, 3
1292, 0.000001, 4
1280, 0.000000, 5
1412, 0.000000, 6
1304, 0.000001, 1
1324, 0.000001, 2
1284, 0.000001, 3
1288, 0.000001, 4
1288, 0.000000, 5
1300, 0.000001, 6
1300, 0.000001, 1
1296, 0.000001, 2
1284, 0.000000, 3
1280, 0.000001, 4
1280, 0.000001, 5
1300, 0.000000, 6
1308, 0.000001, 1
1304, 0.000001, 2
1288, 0.000001, 3
1284, 0.000000, 4
1284, 0.000001, 5
1312, 0.000001, 6
1312, 0.000001, 1
1304, 0.000000, 2
1276, 0.000001, 3
1284, 0.000001, 4
1276, 0.000000, 5
1304, 0.000001, 6
1296, 0.000001, 1
1296, 0.000000, 2
1284, 0.000001, 3
1292, 0.000001, 4
1272, 0.000000, 5
1296, 0.000001, 6
1300, 0.000001, 1
1304, 0.000001, 2
1288, 0.000000, 3
1280, 0.000001, 4
1280, 0.000001, 5
1308, 0.000000, 6
1308, 0.000001, 1
1300, 0.000001, 2
1280, 0.000000, 3
1280, 0.000001, 4
1272, 0.000001, 5
1300, 0.000000, 6
1288, 0.000001, 1
1308, 0.000001, 2
1280, 0.000001, 3
1284, 0.000000, 4
1284, 0.000001, 5
1304, 0.000001, 6
1308, 0.000001, 1
1296, 0.000000, 2
1280, 0.000001, 3
1284, 0.000001, 4
1284, 0.000000, 5
1272, 0.000001, 6
1316, 0.000001, 1
1300, 0.000000, 2
1276, 0.000001, 3
1280, 0.000001, 4
1284, 0.000000, 5
1308, 0.000001, 6
1304, 0.000001, 1
1308, 0.000001, 2
1292, 0.000001, 3
1284, 0.000000, 4
1276, 0.000001, 5
1304, 0.000001, 6
1300, 0.000001, 1
1300, 0.000000, 2
1284, 0.000001, 3
1292, 0.000001, 4
1280, 0.000000, 5
1292, 0.000001, 6
1304, 0.000001, 1
1312, 0.000000, 2
1284, 0.000001, 3
1284, 0.000001, 4
1276, 0.000000, 5
1292, 0.000001, 6
1304, 0.000001, 1
1296, 0.000000, 2
1280, 0.000001, 3
1288, 0.000001, 4
1296, 0.000001, 5
1308, 0.000000, 6
1300, 0.000001, 1
1300, 0.000001, 2
1284, 0.000001, 3
1292, 0.000000, 4
1284, 0.000001, 5
1300, 0.000001, 6
1304, 0.000001, 1
1304, 0.000000, 2
1276, 0.000001, 3
1288, 0.000001, 4
1276, 0.000000, 5
1300, 0.000001, 6
1308, 0.000001, 1
1276, 0.000000, 2
1276, 0.000001, 3
1288, 0.000001, 4
1276, 0.000000, 5
1308, 0.000001, 6
1296, 0.000001, 1
1304, 0.000001, 2
1292, 0.000000, 3
1288, 0.000001, 4
1284, 0.000001, 5
1308, 0.000001, 6
1308, 0.000000, 1
1304, 0.000001, 2
1284, 0.000001, 3
1292, 0.000001, 4
1280, 0.000000, 5
1292, 0.000001, 6
1300, 0.000001, 1
1304, 0.000000, 2
1284, 0.000001, 3
1284, 0.000001, 4
1280, 0.000000, 5
1300, 0.000001, 6
1304, 0.000001, 1
1296, 0.000000, 2
1272, 0.000001, 3
1280, 0.000001, 4
1284, 0.000001, 5
1308, 0.000000, 6
1300, 0.000001, 1
1304, 0.000001, 2
1288, 0.000001, 3
1284, 0.000000, 4
1288, 0.000001, 5
1308, 0.000001, 6
1312, 0.000001, 1
1292, 0.000000, 2
1284, 0.000001, 3
1280, 0.000001, 4
1284, 0.000000, 5
1296, 0.000001, 6
1308, 0.000001, 1
1300, 0.000000, 2
1280, 0.000001, 3
1284, 0.000001, 4
1272, 0.000000, 5
1300, 0.000001, 6
1300, 0.000001, 1
1316, 0.000001, 2
1280, 0.000000, 3
1272, 0.000001, 4
1280, 0.000001, 5
1304, 0.000001, 6
1304, 0.000000, 1
1304, 0.000001, 2
1280, 0.000001, 3
1292, 0.000001, 4
1272, 0.000000, 5
1292, 0.000001, 6
1300, 0.000001, 1
1300, 0.000000, 2
1284, 0.000001, 3
1292, 0.000001, 4
1276, 0.000000, 5
1296, 0.000001, 6
1280, 0.000001, 1
1312, 0.000001, 2
1284, 0.000000, 3
1272, 0.000001, 4
1284, 0.000001, 5
1304, 0.000001, 6
1320, 0.000000, 1
1300, 0.000001, 2
1288, 0.000001, 3
1292, 0.000001, 4
1280, 0.000000, 5
1296, 0.000001, 6
1308, 0.000001, 1
1300, 0.000000, 2
1276, 0.000001, 3
1296, 0.000001, 4
1272, 0.000000, 5
1308, 0.000001, 6
1312, 0.000001, 1
1300, 0.000000, 2
1280, 0.000001, 3
1284, 0.000001, 4
1284, 0.000001, 5
1304, 0.000000, 6
1304, 0.000001, 1
1308, 0.000001, 2
1284, 0.000001, 3
1284, 0.000000, 4
1284, 0.000001, 5
1280, 0.000001, 6
1304, 0.000001, 1
1304, 0.000000, 2
1284, 0.000001, 3
1288, 0.000001, 4
1280, 0.000000, 5
1296, 0.000001, 6
1300, 0.000001, 1
1296, 0.000000, 2
1284, 0.000001, 3
1288, 0.000001, 4
1272, 0.000000, 5
1300, 0.000001, 6
1308, 0.000001, 1
1308, 0.000001, 2
1288, 0.000000, 3
1280, 0.000001, 4
1280, 0.000001, 5
1304, 0.000001, 6
1304, 0.000000, 1
1276, 0.000001, 2
1280, 0.000001, 3
1288, 0.000000, 4
1280, 0.000001, 5
1300, 0.000001, 6
1296, 0.000001, 1
1300, 0.000000, 2
1272, 0.000001, 3
1284, 0.000001, 4
1284, 0.000000, 5
1300, 0.000001, 6
1300, 0.000001, 1
1300, 0.000000, 2
1280, 0.000001, 3
1280, 0.000001, 4
1316, 0.000000, 5
1304, 0.000001, 6
1304, 0.000001, 1
1312, 0.000001, 2
1296, 0.000000, 3
1284, 0.000001, 4
1284, 0.000001, 5
1308, 0.000001, 6
1312, 0.000001, 1
1300, 0.000000, 2
1284, 0.000001, 3
1284, 0.000001, 4
1292, 0.000001, 5
1292, 0.000000, 6
1300, 0.000001, 1
1304, 0.000001, 2
1284, 0.000000, 3
1288, 0.000001, 4
1284, 0.000001, 5
1312, 0.000001, 6
1316, 0.000000, 1
1296, 0.000001, 2
1280, 0.000001, 3
1284, 0.000001, 4
1284, 0.000000, 5
1284, 0.000001, 6
1300, 0.000001, 1
1304, 0.000001, 2
1276, 0.000000, 3
1280, 0.000001, 4
1280, 0.000001, 5
1300, 0.000000, 6
1292, 0.000001, 1
1312, 0.000001, 2
1276, 0.000000, 3
1276, 0.000001, 4
1288, 0.000001, 5
1308, 0.000001, 6
1304, 0.000000, 1
1292, 0.000001, 2
1284, 0.000001, 3
1284, 0.000001, 4
1280, 0.000000, 5
1280, 0.000001, 6
1308, 0.000001, 1
1300, 0.000001, 2
1276, 0.000000, 3
1284, 0.000001, 4
1280, 0.000001, 5
1300, 0.000000, 6
1292, 0.000001, 1
1300, 0.000001, 2
1284, 0.000000, 3
1288, 0.000001, 4
1284, 0.000001, 5
1312, 0.000000, 6
1308, 0.000001, 1
1304, 0.000001, 2
1284, 0.000001, 3
1280, 0.000000, 4
1272, 0.000001, 5
1300, 0.000001, 6
1304, 0.000001, 1
1304, 0.000000, 2
1280, 0.000001, 3
1280, 0.000001, 4
1280, 0.000001, 5
1300, 0.000000, 6
1296, 0.000001, 1
1308, 0.000001, 2
1280, 0.000000, 3
1288, 0.000001, 4
1280, 0.000001, 5
1296, 0.000000, 6
1300, 0.000001, 1
1296, 0.000001, 2
1288, 0.000001, 3
1284, 0.000000, 4
1284, 0.000001, 5
1308, 0.000001, 6
1304, 0.000001, 1
1308, 0.000000, 2
1288, 0.000001, 3
1280, 0.000001, 4
1284, 0.000001, 5
1300, 0.000000, 6
1304, 0.000001, 1
1300, 0.000001, 2
1288, 0.000000, 3
1284, 0.000001, 4
1276, 0.000001, 5
1296, 0.000000, 6
1300, 0.000001, 1
1304, 0.000001, 2
1272, 0.000000, 3
1276, 0.000001, 4
1280, 0.000001, 5
1304, 0.000001, 6
1304, 0.000000, 1
1304, 0.000001, 2
1280, 0.000001, 3
1280, 0.000001, 4
1284, 0.000000, 5
1312, 0.000001, 6
1300, 0.000001, 1
1308, 0.000001, 2
1288, 0.000000, 3
1280, 0.000001, 4
1280, 0.000001, 5
1304, 0.000000, 6
1304, 0.000001, 1
1238, 0.000000, 2
1119, 0.000000, 3
1132, 0.000001, 4
1132, 0.000000, 5
1144, 0.000001, 6
1150, 0.000000, 1
1141, 0.000001, 2
1138, 0.000000, 3
1126, 0.000001, 4
1113, 0.000000, 5
1147, 0.000000, 6
1144, 0.000001, 1
1150, 0.000000, 2
1129, 0.000001, 3
1135, 0.000000, 4
1132, 0.000001, 5
1150, 0.000000, 6
1125, 0.000001, 1
1144, 0.000000, 2
1122, 0.000000, 3
1119, 0.000001, 4
1119, 0.000000, 5
1141, 0.000001, 6
1147, 0.000000, 1
1141, 0.000001, 2
1119, 0.000000, 3
1132, 0.000001, 4
1129, 0.000000, 5
1147, 0.000001, 6
1129, 0.000000, 1
1147, 0.000000, 2
1129, 0.000001, 3
1129, 0.000000, 4
1129, 0.000001, 5
1144, 0.000000, 6
1153, 0.000001, 1
1144, 0.000000, 2
1126, 0.000000, 3
1135, 0.000001, 4
1135, 0.000000, 5
1144, 0.000001, 6
1144, 0.000000, 1
1144, 0.000001, 2
1113, 0.000000, 3
1119, 0.000000, 4
1129, 0.000001, 5
1156, 0.000000, 6
1150, 0.000001, 1
1147, 0.000000, 2
1119, 0.000001, 3
1129, 0.000000, 4
1113, 0.000001, 5
1163, 0.000000, 6
1141, 0.000001, 1
1144, 0.000000, 2
1113, 0.000000, 3
1132, 0.000001, 4
1122, 0.000000, 5
1147, 0.000001, 6
1160, 0.000000, 1
1144, 0.000001, 2
1132, 0.000000, 3
1126, 0.000000, 4
1129, 0.000001, 5
1144, 0.000000, 6
1150, 0.000001, 1
1153, 0.000000, 2
1110, 0.000001, 3
1116, 0.000000, 4
1113, 0.000001, 5
1150, 0.000000, 6
1144, 0.000000, 1
1147, 0.000001, 2
1129, 0.000000, 3
1132, 0.000001, 4
1129, 0.000000, 5
1141, 0.000001, 6
1144, 0.000000, 1
1144, 0.000001, 2
1129, 0.000000, 3
1132, 0.000000, 4
1132, 0.000001, 5
1147, 0.000000, 6
1138, 0.000001, 1
1147, 0.000000, 2
1132, 0.000001, 3
1129, 0.000000, 4
1132, 0.000000, 5
1147, 0.000001, 6
1147, 0.000000, 1
1144, 0.000001, 2
1135, 0.000000, 3
1132, 0.000001, 4
