clocks, time
147883736, 0.036971
144331098, 0.036083
142136960, 0.035534
142319597, 0.035580
142629213, 0.035657
142371440, 0.035593
142382536, 0.035596
142027883, 0.035507
142367237, 0.035592
142454972, 0.035614
142579636, 0.035645
141965686, 0.035491
142187323, 0.035547
142303529, 0.035576
142211732, 0.035553
142631643, 0.035658
142142338, 0.035536
142476028, 0.035619
141764552, 0.035441
141894193, 0.035474
142175864, 0.035544
142157849, 0.035539
142063693, 0.035516
141467126, 0.035367
141482664, 0.035371
141384163, 0.035346
141526837, 0.035382
141994317, 0.035499
140977382, 0.035244
141339101, 0.035335
141476502, 0.035369
141207840, 0.035302
141185890, 0.035296
141194453, 0.035299
141096579, 0.035274
141518375, 0.035380
141496228, 0.035374
141724471, 0.035431
141041071, 0.035260
141280889, 0.035320
141134283, 0.035284
141270083, 0.035318
141091526, 0.035273
142550772, 0.035638
141432634, 0.035358
141294785, 0.035324
140931526, 0.035233
141560249, 0.035390
141925932, 0.035481
141637056, 0.035409
141438378, 0.035360
141500609, 0.035375
140975015, 0.035244
140947738, 0.035237
140898292, 0.035225
141589840, 0.035397
141024065, 0.035256
141378384, 0.035345
141859846, 0.035465
141351350, 0.035338
141477868, 0.035369
140977132, 0.035244
141150637, 0.035288
141613253, 0.035403
141013314, 0.035253
141687720, 0.035422
143403102, 0.035851
141566049, 0.035392
141105578, 0.035276
141167111, 0.035292
141427584, 0.035357
140683760, 0.035171
141270086, 0.035318
141489264, 0.035372
140963532, 0.035241
141127548, 0.035282
142639391, 0.035660
149367797, 0.037342
149622554, 0.037406
149591954, 0.037398
149207843, 0.037302
149997073, 0.037499
149735171, 0.037434
149152594, 0.037288
149622129, 0.037406
146481997, 0.036620
143763496, 0.035941
143264242, 0.035816
143627865, 0.035907
143016720, 0.035754
143547619, 0.035887
144229630, 0.036057
143773345, 0.035943
143633656, 0.035908
143592091, 0.035898
143702621, 0.035926
143654677, 0.035914
143892234, 0.035973
143574286, 0.035894
143943619, 0.035986
