clocks, time, loop_order
2243945, 0.000561, 2
2449206, 0.000612, 3
2451474, 0.000613, 4
2289391, 0.000572, 5
2451037, 0.000613, 6
2411034, 0.000603, 1
2243856, 0.000561, 2
2449339, 0.000612, 3
2445169, 0.000611, 4
2319941, 0.000580, 5
2527497, 0.000632, 6
2466780, 0.000617, 1
2296106, 0.000574, 2
2513534, 0.000628, 3
2428363, 0.000607, 4
2267815, 0.000567, 5
2470105, 0.000618, 6
2411424, 0.000603, 1
2244250, 0.000561, 2
2449317, 0.000612, 3
2445034, 0.000611, 4
2307828, 0.000577, 5
2452600, 0.000613, 6
2507543, 0.000627, 1
2295300, 0.000574, 2
2495979, 0.000624, 3
2416594, 0.000604, 4
2268302, 0.000567, 5
2451557, 0.000613, 6
2432467, 0.000608, 1
2243486, 0.000561, 2
2449345, 0.000612, 3
2416794, 0.000604, 4
2267622, 0.000567, 5
2451797, 0.000613, 6
2411061, 0.000603, 1
2259510, 0.000565, 2
2449222, 0.000612, 3
2417157, 0.000604, 4
2269012, 0.000567, 5
2451342, 0.000613, 6
2410763, 0.000603, 1
2250889, 0.000563, 2
2469754, 0.000617, 3
2417357, 0.000604, 4
2268206, 0.000567, 5
2458846, 0.000615, 6
2411270, 0.000603, 1
2242861, 0.000561, 2
2470495, 0.000618, 3
2417471, 0.000604, 4
2268569, 0.000567, 5
2452855, 0.000613, 6
2410677, 0.000603, 1
2242741, 0.000561, 2
2606246, 0.000652, 3
2435006, 0.000609, 4
2268209, 0.000567, 5
2451535, 0.000613, 6
2410954, 0.000603, 1
2243068, 0.000561, 2
2450588, 0.000613, 3
2445197, 0.000611, 4
2296148, 0.000574, 5
2453332, 0.000613, 6
2410828, 0.000603, 1
2244209, 0.000561, 2
2457320, 0.000614, 3
2416831, 0.000604, 4
2268717, 0.000567, 5
2474766, 0.000619, 6
2411274, 0.000603, 1
2242886, 0.000561, 2
2450831, 0.000613, 3
2444960, 0.000611, 4
2303025, 0.000576, 5
2467831, 0.000617, 6
2411495, 0.000603, 1
2243345, 0.000561, 2
2450649, 0.000613, 3
2445101, 0.000611, 4
2302736, 0.000576, 5
2452957, 0.000613, 6
2428831, 0.000607, 1
2243474, 0.000561, 2
2450656, 0.000613, 3
2426603, 0.000607, 4
2269129, 0.000567, 5
2452843, 0.000613, 6
2410994, 0.000603, 1
2272880, 0.000568, 2
2450541, 0.000613, 3
2417332, 0.000604, 4
2269252, 0.000567, 5
2452868, 0.000613, 6
2418963, 0.000605, 1
2261344, 0.000565, 2
2458037, 0.000615, 3
2417471, 0.000604, 4
2267625, 0.000567, 5
2452729, 0.000613, 6
2410942, 0.000603, 1
2243616, 0.000561, 2
2467748, 0.000617, 3
2417569, 0.000604, 4
2267782, 0.000567, 5
2452883, 0.000613, 6
2410818, 0.000603, 1
2242950, 0.000561, 2
2449462, 0.000612, 3
2437191, 0.000609, 4
2277114, 0.000569, 5
2451960, 0.000613, 6
2410951, 0.000603, 1
2243901, 0.000561, 2
2450815, 0.000613, 3
2445360, 0.000611, 4
2289135, 0.000572, 5
2451412, 0.000613, 6
2410930, 0.000603, 1
2243790, 0.000561, 2
2450566, 0.000613, 3
2445212, 0.000611, 4
2311951, 0.000578, 5
2542292, 0.000636, 6
2491685, 0.000623, 1
2243597, 0.000561, 2
2450828, 0.000613, 3
2417403, 0.000604, 4
2267769, 0.000567, 5
2472579, 0.000618, 6
2411185, 0.000603, 1
2242791, 0.000561, 2
2450603, 0.000613, 3
2445255, 0.000611, 4
2308003, 0.000577, 5
2452997, 0.000613, 6
2427292, 0.000607, 1
2243391, 0.000561, 2
2450569, 0.000613, 3
2416111, 0.000604, 4
2268434, 0.000567, 5
2452920, 0.000613, 6
2427785, 0.000607, 1
2243828, 0.000561, 2
2450621, 0.000613, 3
2417536, 0.000604, 4
2269206, 0.000567, 5
2453000, 0.000613, 6
2410760, 0.000603, 1
2260584, 0.000565, 2
2457397, 0.000614, 3
2417006, 0.000604, 4
2268502, 0.000567, 5
2453130, 0.000613, 6
2411068, 0.000603, 1
2244413, 0.000561, 2
2474289, 0.000619, 3
2417486, 0.000604, 4
2267655, 0.000567, 5
2451554, 0.000613, 6
2410797, 0.000603, 1
2243139, 0.000561, 2
2450594, 0.000613, 3
2435145, 0.000609, 4
2268268, 0.000567, 5
2452892, 0.000613, 6
2417744, 0.000604, 1
2243418, 0.000561, 2
2450606, 0.000613, 3
2455265, 0.000614, 4
2268249, 0.000567, 5
2452932, 0.000613, 6
2410907, 0.000603, 1
2244495, 0.000561, 2
2450674, 0.000613, 3
2416942, 0.000604, 4
2284917, 0.000571, 5
2451732, 0.000613, 6
2410973, 0.000603, 1
2244382, 0.000561, 2
2449677, 0.000612, 3
2445203, 0.000611, 4
2302972, 0.000576, 5
2468683, 0.000617, 6
2411446, 0.000603, 1
2243329, 0.000561, 2
2449080, 0.000612, 3
2444926, 0.000611, 4
2307498, 0.000577, 5
2460443, 0.000615, 6
2418391, 0.000605, 1
2244615, 0.000561, 2
2449074, 0.000612, 3
2417040, 0.000604, 4
2267677, 0.000567, 5
2451289, 0.000613, 6
2417990, 0.000604, 1
2243409, 0.000561, 2
2449240, 0.000612, 3
2416733, 0.000604, 4
2269000, 0.000567, 5
2451526, 0.000613, 6
2410843, 0.000603, 1
2248717, 0.000562, 2
2449046, 0.000612, 3
2417099, 0.000604, 4
2267883, 0.000567, 5
2452966, 0.000613, 6
2411206, 0.000603, 1
2244581, 0.000561, 2
2455901, 0.000614, 3
2417025, 0.000604, 4
2268529, 0.000567, 5
2451640, 0.000613, 6
2410674, 0.000603, 1
2243243, 0.000561, 2
2454277, 0.000614, 3
2416665, 0.000604, 4
2267569, 0.000567, 5
2452572, 0.000613, 6
2410963, 0.000603, 1
2243634, 0.000561, 2
2449062, 0.000612, 3
2438572, 0.000610, 4
2267588, 0.000567, 5
2452739, 0.000613, 6
2423215, 0.000606, 1
2244585, 0.000561, 2
2449295, 0.000612, 3
2416825, 0.000604, 4
2290197, 0.000573, 5
2451575, 0.000613, 6
2410920, 0.000603, 1
2243511, 0.000561, 2
2449243, 0.000612, 3
2417138, 0.000604, 4
2268477, 0.000567, 5
2470200, 0.000618, 6
2411391, 0.000603, 1
2243258, 0.000561, 2
2449133, 0.000612, 3
2445508, 0.000611, 4
2268507, 0.000567, 5
2477191, 0.000619, 6
2411532, 0.000603, 1
2243440, 0.000561, 2
2449283, 0.000612, 3
2447018, 0.000612, 4
2307624, 0.000577, 5
2452708, 0.000613, 6
2429594, 0.000607, 1
2243994, 0.000561, 2
2449154, 0.000612, 3
2416622, 0.000604, 4
2269058, 0.000567, 5
2461450, 0.000615, 6
2418332, 0.000605, 1
2261911, 0.000565, 2
2457597, 0.000614, 3
2417548, 0.000604, 4
2268976, 0.000567, 5
2453280, 0.000613, 6
2410904, 0.000603, 1
2370000, 0.000593, 2
2522974, 0.000631, 3
2500717, 0.000625, 4
2277640, 0.000569, 5
2452902, 0.000613, 6
2410861, 0.000603, 1
2251920, 0.000563, 2
2548421, 0.000637, 3
2416625, 0.000604, 4
2269258, 0.000567, 5
2451403, 0.000613, 6
2486360, 0.000622, 1
2332446, 0.000583, 2
2456471, 0.000614, 3
2437824, 0.000609, 4
2269332, 0.000567, 5
2452853, 0.000613, 6
2410914, 0.000603, 1
2243797, 0.000561, 2
2449163, 0.000612, 3
2434960, 0.000609, 4
2269443, 0.000567, 5
2451468, 0.000613, 6
2419560, 0.000605, 1
2243468, 0.000561, 2
2449449, 0.000612, 3
2416649, 0.000604, 4
2289296, 0.000572, 5
2451573, 0.000613, 6
2410871, 0.000603, 1
2250945, 0.000563, 2
2449231, 0.000612, 3
2416579, 0.000604, 4
2267787, 0.000567, 5
2583333, 0.000646, 6
2411274, 0.000603, 1
2244517, 0.000561, 2
2449181, 0.000612, 3
2445366, 0.000611, 4
2308059, 0.000577, 5
2477055, 0.000619, 6
2411557, 0.000603, 1
2243471, 0.000561, 2
2449369, 0.000612, 3
2444939, 0.000611, 4
2295382, 0.000574, 5
2453492, 0.000613, 6
2446853, 0.000612, 1
2243907, 0.000561, 2
2449382, 0.000612, 3
2417972, 0.000604, 4
2275523, 0.000569, 5
2453046, 0.000613, 6
2410877, 0.000603, 1
2262545, 0.000566, 2
2449299, 0.000612, 3
2425914, 0.000606, 4
2269363, 0.000567, 5
2452874, 0.000613, 6
2411098, 0.000603, 1
2243874, 0.000561, 2
2468849, 0.000617, 3
2417154, 0.000604, 4
2269086, 0.000567, 5
2453101, 0.000613, 6
2410886, 0.000603, 1
2243945, 0.000561, 2
2466557, 0.000617, 3
2417554, 0.000604, 4
2267794, 0.000567, 5
2452766, 0.000613, 6
2410859, 0.000603, 1
2243800, 0.000561, 2
2449111, 0.000612, 3
2450394, 0.000613, 4
2268585, 0.000567, 5
2451606, 0.000613, 6
2410864, 0.000603, 1
2242997, 0.000561, 2
2449145, 0.000612, 3
2416772, 0.000604, 4
2285766, 0.000571, 5
2453480, 0.000613, 6
2410862, 0.000603, 1
2243526, 0.000561, 2
2449095, 0.000612, 3
2445058, 0.000611, 4
2285378, 0.000571, 5
2455382, 0.000614, 6
2421298, 0.000605, 1
2243425, 0.000561, 2
2449234, 0.000612, 3
2416973, 0.000604, 4
2268659, 0.000567, 5
2471037, 0.000618, 6
2411499, 0.000603, 1
2244347, 0.000561, 2
2449147, 0.000612, 3
2444985, 0.000611, 4
2307935, 0.000577, 5
2451394, 0.000613, 6
2436283, 0.000609, 1
2243277, 0.000561, 2
2515752, 0.000629, 3
2473361, 0.000618, 4
2308613, 0.000577, 5
2453065, 0.000613, 6
2410840, 0.000603, 1
2264483, 0.000566, 2
2449351, 0.000612, 3
2416750, 0.000604, 4
2269277, 0.000567, 5
2452985, 0.000613, 6
2410941, 0.000603, 1
2259031, 0.000565, 2
2449228, 0.000612, 3
2416738, 0.000604, 4
2277304, 0.000569, 5
2453089, 0.000613, 6
2410868, 0.000603, 1
2315417, 0.000579, 2
2561061, 0.000640, 3
2417480, 0.000604, 4
2275834, 0.000569, 5
2451326, 0.000613, 6
2410834, 0.000603, 1
2349618, 0.000587, 2
2449040, 0.000612, 3
2439664, 0.000610, 4
2268089, 0.000567, 5
2453185, 0.000613, 6
2419136, 0.000605, 1
2244366, 0.000561, 2
2456960, 0.000614, 3
2445277, 0.000611, 4
2267997, 0.000567, 5
2451363, 0.000613, 6
2410763, 0.000603, 1
2242837, 0.000561, 2
2449178, 0.000612, 3
2445092, 0.000611, 4
2287541, 0.000572, 5
2452120, 0.000613, 6
2410880, 0.000603, 1
2244600, 0.000561, 2
2449517, 0.000612, 3
2445092, 0.000611, 4
2307502, 0.000577, 5
2479529, 0.000620, 6
2411373, 0.000603, 1
2243867, 0.000561, 2
2449086, 0.000612, 3
2424778, 0.000606, 4
2269406, 0.000567, 5
2470532, 0.000618, 6
2411385, 0.000603, 1
2243637, 0.000561, 2
2449230, 0.000612, 3
2427308, 0.000607, 4
2267659, 0.000567, 5
2451308, 0.000613, 6
2430221, 0.000608, 1
2243295, 0.000561, 2
2449228, 0.000612, 3
2426803, 0.000607, 4
2269895, 0.000567, 5
2452625, 0.000613, 6
2410747, 0.000603, 1
2263237, 0.000566, 2
2449277, 0.000612, 3
2416560, 0.000604, 4
2268249, 0.000567, 5
2451674, 0.000613, 6
2411068, 0.000603, 1
2243905, 0.000561, 2
2465717, 0.000616, 3
2417271, 0.000604, 4
2267683, 0.000567, 5
2453138, 0.000613, 6
2410972, 0.000603, 1
2244520, 0.000561, 2
2464680, 0.000616, 3
2423548, 0.000606, 4
2268027, 0.000567, 5
2451348, 0.000613, 6
2410751, 0.000603, 1
2243120, 0.000561, 2
2449175, 0.000612, 3
2455320, 0.000614, 4
2267981, 0.000567, 5
2451259, 0.000613, 6
2410850, 0.000603, 1
2244391, 0.000561, 2
2449092, 0.000612, 3
2445526, 0.000611, 4
