clocks, time, loop_order
126247130, 0.057516, 1
94618572, 0.043108, 2
107897004, 0.049158, 3
121054534, 0.055152, 4
102511338, 0.046704, 5
103171908, 0.047005, 6
118894028, 0.054168, 1
105577496, 0.048100, 2
113914866, 0.051899, 3
138447918, 0.063077, 4
105151386, 0.047907, 5
109482846, 0.049880, 6
122451648, 0.055788, 1
104598664, 0.047585, 2
105542676, 0.048084, 3
146588331, 0.066785, 4
107049242, 0.048772, 5
119917888, 0.054634, 6
129420306, 0.058963, 1
99422796, 0.045297, 2
110005032, 0.050118, 3
127219494, 0.057961, 4
104043836, 0.047402, 5
102110080, 0.046521, 6
113973994, 0.051927, 1
97759304, 0.044538, 2
105096353, 0.047882, 3
127423294, 0.058054, 4
103668080, 0.047231, 5
109171520, 0.049738, 6
144609714, 0.065884, 1
109082626, 0.049698, 2
133706062, 0.060916, 3
132118382, 0.060193, 4
113699666, 0.051801, 5
113131648, 0.051543, 6
139472310, 0.063543, 1
108059792, 0.049232, 2
115684454, 0.052706, 3
138203662, 0.062965, 4
108867561, 0.049600, 5
107873390, 0.049147, 6
124015416, 0.056501, 1
99623398, 0.045388, 2
124100912, 0.056540, 3
128460212, 0.058486, 4
103366178, 0.047064, 5
111007940, 0.050575, 6
119277904, 0.054343, 1
113956858, 0.051919, 2
107325837, 0.048897, 3
121162064, 0.055201, 4
114658509, 0.052238, 5
103777678, 0.047280, 6
114091754, 0.051980, 1
97959666, 0.044630, 2
117742536, 0.053644, 3
127045662, 0.057881, 4
97116613, 0.044246, 5
101787498, 0.046374, 6
131345226, 0.059841, 1
104746002, 0.047722, 2
110902022, 0.050526, 3
127497987, 0.058088, 4
107516688, 0.048984, 5
110891519, 0.050522, 6
121159796, 0.055200, 1
97811488, 0.044563, 2
101067232, 0.046046, 3
129327148, 0.058921, 4
104236542, 0.047490, 5
108491399, 0.049428, 6
116550508, 0.053100, 1
96928189, 0.044160, 2
105698945, 0.048156, 3
135935234, 0.061932, 4
102718214, 0.046798, 5
114902774, 0.052349, 6
133615606, 0.060875, 1
104815248, 0.047713, 2
108536672, 0.049419, 3
128157586, 0.058388, 4
101317258, 0.046160, 5
104570166, 0.047642, 6
137660676, 0.062718, 1
100240741, 0.045669, 2
113364676, 0.051648, 3
135666090, 0.061809, 4
111665410, 0.050874, 5
115437204, 0.052592, 6
124373016, 0.056664, 1
104931318, 0.047806, 2
106911636, 0.048709, 3
127822698, 0.058236, 4
105490400, 0.048062, 5
103153122, 0.046996, 6
123760588, 0.056385, 1
108305138, 0.049344, 2
112143234, 0.051092, 3
128406872, 0.058502, 4
104386794, 0.047558, 5
115996310, 0.052847, 6
124248270, 0.056607, 1
95247444, 0.043394, 2
117855330, 0.053694, 3
135014066, 0.061512, 4
107980444, 0.049196, 5
111655286, 0.050870, 6
138899226, 0.063282, 1
112354736, 0.051189, 2
114289916, 0.052070, 3
134743246, 0.061389, 4
106961734, 0.048661, 5
102902030, 0.046882, 6
115267002, 0.052515, 1
108391902, 0.049383, 2
111414455, 0.050760, 3
127331728, 0.058012, 4
111304168, 0.050710, 5
103243298, 0.047037, 6
121805860, 0.055495, 1
117077820, 0.053341, 2
98401266, 0.044831, 3
127172234, 0.057939, 4
95026912, 0.043294, 5
111889028, 0.050976, 6
123870570, 0.056435, 1
105525794, 0.048077, 2
107079270, 0.048785, 3
126918084, 0.057823, 4
107635526, 0.049038, 5
101484820, 0.046236, 6
113299220, 0.051619, 1
104910648, 0.047797, 2
110376193, 0.050287, 3
137568680, 0.062675, 4
104274622, 0.047507, 5
112146601, 0.051093, 6
148091032, 0.067470, 1
99179668, 0.045186, 2
105999750, 0.048294, 3
127040390, 0.057879, 4
105114752, 0.047890, 5
100641476, 0.045852, 6
127077944, 0.057896, 1
